--- Log started at Sun Nov 25 21:34:31 2012

000088.475|  796276.0968kb|      4.0000kb added| ALWAYS| Hero Soraka(0) created for Zeroheavenz
000088.476|  796276.0968kb|      0.0000kb added| ALWAYS| Creating Hero...
000088.524|  797156.0968kb|    880.0000kb added| ALWAYS| Hero Katarina(0) created for superazn757
000088.658|  802060.0032kb|   4904.0000kb added| ALWAYS| PKT_S2C_EndSpawn
000088.664|  802332.0032kb|    272.0000kb added| ALWAYS| PKT_StartGame
000091.163|  856036.0968kb|  53704.0000kb added| ALWAYS| PKT_StartGame Finished proccessing
000091.163|  856036.0968kb|      0.0000kb added| ALWAYS| **** Didnt have a valid chunk.  keyframe: -1   chunk: 6
000091.164|  856060.0032kb|     24.0000kb added| ALWAYS| Start timer. Game Time: 821.736450, Real Time: 91.164085
000091.164|  856060.0032kb|      0.0000kb added| ALWAYS| Set Replay time: 0.000000 oldTime: 0.000000
000091.164|  856060.0032kb|      0.0000kb added| ALWAYS| GAMESTATE_GAMELOOP Begin
000091.164|  856060.0032kb|      0.0000kb added| ALWAYS| GAMESTATE_GAMELOOP Update World
000091.168|  856060.0032kb|      0.0000kb added| ALWAYS| GAMESTATE_GAMELOOP GUIMenuProcess
000091.168|  856064.0000kb|      4.0000kb added| ALWAYS| GAMESTATE_GAMELOOP HUDProcess
000091.169|  856068.0968kb|      4.0000kb added| ALWAYS| GAMESTATE_GAMELOOP End
000096.169|  869764.0968kb|  13696.0000kb added| ALWAYS| LastAvailableChunk -----  id: 5 gameTime: 1 timeSinceAvailable: 39.961002  timeUpdated: 86.946198  startChunk: 6  latestTime: 49.184177
000097.072|  869764.0968kb|      0.0000kb added| ALWAYS| Requesting LastAvailableChunkInfo.
000097.149|  869764.0968kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 9918
000101.173|  869764.0968kb|      0.0000kb added| ALWAYS| LastAvailableChunk -----  id: 5 gameTime: 1 timeSinceAvailable: 50.170002  timeUpdated: 97.149132  startChunk: 6  latestTime: 54.194431
000106.173|  869764.0968kb|      0.0000kb added| ALWAYS| LastAvailableChunk -----  id: 5 gameTime: 1 timeSinceAvailable: 50.170002  timeUpdated: 97.149132  startChunk: 6  latestTime: 59.194607
000107.067|  869764.0968kb|      0.0000kb added| ALWAYS| Requesting LastAvailableChunkInfo.
000107.145|  869764.0968kb|      0.0000kb added| ALWAYS| ---- Downloading Chunk 6
000107.268|  875072.0000kb|   5308.0000kb added| ALWAYS| ---- Downloading Keyframe 1
000107.350|  879972.0968kb|   4900.0000kb added| ALWAYS| ---- Waiting to fetch 10000
000107.368|  856436.0968kb| -23536.0000kb added| ALWAYS| **** Request chunk 6
000107.368|  856440.0000kb|      4.0000kb added| ALWAYS| ReplayDataManager set minTimeSinceAvailable to 0 to stop throttling chunk fetching
000107.368|  856440.0000kb|      0.0000kb added| ALWAYS| Requesting chunk id 6 of chunk type 1
000107.368|  856440.0000kb|      0.0000kb added| ALWAYS| Started new chunk.  ChunkID: 6  chunk start time: 0.001663  current time: 15.980942
000107.368|  856440.0000kb|      0.0000kb added| ALWAYS| Set Replay time: 0.001663 oldTime: 15.980942
000107.368|  856440.0000kb|      0.0000kb added| ALWAYS| Replay speedup.  timeBehind: 0.399359
000107.368|  856440.0000kb|      0.0000kb added| ALWAYS| Set playback speed: 100.000000
000107.368|  856440.0000kb|      0.0000kb added| ALWAYS| GUI::HandleReplayFastForwardStart
000107.368|  856440.0000kb|      0.0000kb added| ALWAYS| Requesting LastAvailableChunkInfo.
000107.369|  856476.0032kb|     36.0000kb added| ALWAYS| Replay resuming after fast forward. Time: 22.338242 FirstPacketTime 0.002663 TimeBehind: -21.936342
000107.369|  856476.0032kb|      0.0000kb added| ALWAYS| Set Replay time: 0.401899 oldTime: 22.338242
000107.369|  856476.0032kb|      0.0000kb added| ALWAYS| Set playback speed: 1.000000
000107.369|  856476.0032kb|      0.0000kb added| ALWAYS| GUI::HandleReplayFastForwardEnd
000107.454|  866316.0032kb|   9840.0000kb added| ALWAYS| ---- Downloading Chunk 7
000107.533|  867564.0032kb|   1248.0000kb added| ALWAYS| ---- Waiting to fetch 10000
000111.175|  913388.0032kb|  45824.0000kb added| ALWAYS| LastAvailableChunk -----  id: 7 gameTime: 1 timeSinceAvailable: 0.456000  timeUpdated: 107.454147  startChunk: 6  latestTime: 34.178589
000116.189|  913400.0000kb|     12.0000kb added| ALWAYS| LastAvailableChunk -----  id: 7 gameTime: 1 timeSinceAvailable: 0.456000  timeUpdated: 107.454147  startChunk: 6  latestTime: 39.193138
000117.532|  913400.0000kb|      0.0000kb added| ALWAYS| Requesting LastAvailableChunkInfo.
000117.622|  913400.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 10000
000121.203|  913404.0032kb|      4.0000kb added| ALWAYS| LastAvailableChunk -----  id: 7 gameTime: 1 timeSinceAvailable: 10.622001  timeUpdated: 117.622597  startChunk: 6  latestTime: 44.204330
000126.218|  913404.0032kb|      0.0000kb added| ALWAYS| LastAvailableChunk -----  id: 7 gameTime: 1 timeSinceAvailable: 10.622001  timeUpdated: 117.622597  startChunk: 6  latestTime: 49.219254
000127.622|  913404.0032kb|      0.0000kb added| ALWAYS| Requesting LastAvailableChunkInfo.
000127.700|  913404.0032kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 9404
000131.231|  914164.0968kb|    760.0000kb added| ALWAYS| LastAvailableChunk -----  id: 7 gameTime: 1 timeSinceAvailable: 20.705002  timeUpdated: 127.700104  startChunk: 6  latestTime: 54.238121
000136.246|  916484.0968kb|   2320.0000kb added| ALWAYS| LastAvailableChunk -----  id: 7 gameTime: 1 timeSinceAvailable: 20.705002  timeUpdated: 127.700104  startChunk: 6  latestTime: 59.252785
000136.880|  916484.0968kb|      0.0000kb added| ALWAYS| **** Request chunk 7
000136.880|  916484.0968kb|      0.0000kb added| ALWAYS| Requesting chunk id 7 of chunk type 1
000136.880|  916484.0968kb|      0.0000kb added| ALWAYS| Started new chunk.  ChunkID: 7  chunk start time: 30.001503  current time: 29.913649
000137.104|  916744.0000kb|    260.0000kb added| ALWAYS| Requesting LastAvailableChunkInfo.
000137.184|  916752.0000kb|      8.0000kb added| ALWAYS| ---- Downloading Chunk 8
000137.304|  916752.0000kb|      0.0000kb added| ALWAYS| ---- Downloading Keyframe 2
000137.420|  916752.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 10000
000141.261|  916760.0000kb|      8.0000kb added| ALWAYS| LastAvailableChunk -----  id: 8 gameTime: 1 timeSinceAvailable: 0.178000  timeUpdated: 137.184341  startChunk: 6  latestTime: 64.272301
